Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,P/L %,No. of Contracts,Funds at Close,Margin Req.,Underlying,Strategy,Opening Commissions + Fees,Closing Commissions + Fees,Opening Short/Long Ratio,Closing Short/Long Ratio,Gap,Movement,Max Profit,Max Loss
2026-02-19,14:55:00,6841.78,1 Feb 19 6855 C STO 2.05 | 1 Feb 19 6955 C BTO 0.05,200,6851.01,2026-02-19,15:04:00,415,Stop Loss,-219.56,-109.78000000000002,1,1006199.6,9800,SPX,EMA-V:  calls,2.28,2.28,41.0,89.0,-19.97,-19.56,0.0,-145.0
2026-02-19,14:46:00,6843.2,1 Feb 19 6860 C STO 1.70 | 1 Feb 19 6960 C BTO 0.05,165,6861.89,2026-02-19,16:00:00,189,Expired,-26.28,-15.92727272727273,1,1006173.32,9835,SPX,EMA-V:  calls,2.28,0.0,34.0,28.0,-19.97,-18.14,84.85,-57.58
2026-02-19,13:43:00,6841.03,1 Feb 19 6865 C STO 2.05 | 1 Feb 19 6965 C BTO 0.05,200,6854.41,2026-02-19,14:00:00,415,Stop Loss,-219.56,-109.78000000000002,1,1006638.72,9800,SPX,EMA-V:  calls,2.28,2.28,41.0,85.0,-19.97,-20.31,0.0,-127.5
2026-02-19,13:34:00,6839.62,1 Feb 19 6865 C STO 2.05 | 1 Feb 19 6965 C BTO 0.05,200,6854.41,2026-02-19,14:00:00,415,Stop Loss,-219.56,-109.78000000000002,1,1006419.16,9800,SPX,EMA-V:  calls,2.28,2.28,41.0,85.0,-19.97,-21.72,5.0,-127.5
2026-02-19,13:25:00,6840.67,1 Feb 19 6870 C STO 1.65 | 1 Feb 19 6970 C BTO 0.05,160,6861.89,2026-02-19,16:00:00,0,Expired,157.72,98.575,1,1006331.04,9840,SPX,EMA-V:  calls,2.28,0.0,33.0,1.0,-19.97,-20.67,100.0,-87.5
2026-02-19,13:16:00,6847.81,1 Feb 19 6875 C STO 1.60 | 1 Feb 19 6975 C BTO 0.05,155,6861.89,2026-02-19,16:00:00,0,Expired,152.72,98.52903225806452,1,1006483.76,9845,SPX,EMA-V:  calls,2.28,0.0,32.0,1.0,-19.97,-13.53,100.0,-25.81
2026-02-19,13:07:00,6840.83,1 Feb 19 6870 C STO 2.05 | 1 Feb 19 6970 C BTO 0.05,200,6861.89,2026-02-19,16:00:00,0,Expired,197.72,98.86,1,1006681.48,9800,SPX,EMA-V:  calls,2.28,0.0,41.0,1.0,-19.97,-20.51,100.0,-50.0
2026-02-19,12:58:00,6841.66,1 Feb 19 6875 C STO 1.75 | 1 Feb 19 6975 C BTO 0.05,170,6861.89,2026-02-19,16:00:00,0,Expired,167.72,98.65882352941176,1,1006849.2,9830,SPX,EMA-V:  calls,2.28,0.0,35.0,1.0,-19.97,-19.68,100.0,-14.71
2026-02-19,12:49:00,6842.71,1 Feb 19 6880 C STO 1.55 | 1 Feb 19 6980 C BTO 0.05,150,6861.89,2026-02-19,16:00:00,0,Expired,147.72,98.48,1,1006996.92,9850,SPX,EMA-V:  calls,2.28,0.0,31.0,1.0,-19.97,-18.63,100.0,0.0
2026-02-19,12:13:00,6851.81,1 Feb 19 6885 C STO 2.05 | 1 Feb 19 6985 C BTO 0.05,200,6861.89,2026-02-19,16:00:00,0,Expired,197.72,98.86,1,1007194.64,9800,SPX,EMA-V:  calls,2.28,0.0,41.0,1.0,-19.97,-9.53,100.0,-50.0
2026-02-19,12:04:00,6847.96,1 Feb 19 6885 C STO 1.85 | 1 Feb 19 6985 C BTO 0.05,180,6861.89,2026-02-19,16:00:00,0,Expired,177.72,98.73333333333332,1,1007372.36,9820,SPX,EMA-V:  calls,2.28,0.0,37.0,1.0,-19.97,-13.38,100.0,-66.67
2026-02-19,11:55:00,6857.11,1 Feb 19 6890 C STO 2.10 | 1 Feb 19 6990 C BTO 0.05,205,6861.89,2026-02-19,16:00:00,0,Expired,202.72,98.88780487804878,1,1007772.8,9795,SPX,EMA-V:  calls,2.28,0.0,42.0,1.0,-19.97,-4.23,100.0,0.0
2026-02-19,11:46:00,6854.47,1 Feb 19 6890 C STO 2.05 | 1 Feb 19 6990 C BTO 0.05,200,6861.89,2026-02-19,16:00:00,0,Expired,197.72,98.86,1,1007570.08,9800,SPX,EMA-V:  calls,2.28,0.0,41.0,1.0,-19.97,-6.87,100.0,-2.5
2026-02-19,11:19:00,6873.9,1 Feb 19 6810 P STO 1.70 | 1 Feb 19 6710 P BTO 0.20,150,6858.63,2026-02-19,11:30:00,318,Stop Loss,-172.56,-115.04,1,1007030.84,9850,SPX,EMA-V: puts,2.28,2.28,8.5,15.75,-19.97,12.56,0.0,-100.0
2026-02-19,10:43:00,6873.95,1 Feb 19 6795 P STO 1.75 | 1 Feb 19 6695 P BTO 0.25,150,6848.3,2026-02-19,11:51:00,318,Stop Loss,-172.56,-115.04,1,1006858.28,9850,SPX,EMA-V: puts,2.28,2.28,7.0,17.667,-19.97,12.61,40.0,-103.33
2026-02-19,09:58:00,6873.76,1 Feb 19 6775 P STO 1.70 | 1 Feb 19 6675 P BTO 0.30,140,6861.89,2026-02-19,16:00:00,0,Expired,137.72,98.37142857142857,1,1007910.52,9860,SPX,EMA-V: puts,2.28,0.0,5.667,1.0,-19.97,12.42,100.0,-42.86
2026-02-18,15:31:00,6866.06,1 Feb 18 6875 C STO 1.85 | 1 Feb 18 6975 C BTO 0.05,180,6875.15,2026-02-18,15:43:00,375,Stop Loss,-199.56,-110.86666666666667,1,1005584.0,9820,SPX,EMA-V:  calls,2.28,2.28,37.0,76.0,12.26,10.58,27.78,-111.11
2026-02-18,15:22:00,6859.08,1 Feb 18 6870 C STO 1.90 | 1 Feb 18 6970 C BTO 0.05,185,6867.27,2026-02-18,15:32:00,385,Stop Loss,-204.56,-110.57297297297298,1,1005943.12,9815,SPX,EMA-V:  calls,2.28,2.28,38.0,73.0,12.26,3.6,10.81,-137.84
2026-02-18,15:13:00,6859.89,1 Feb 18 6875 C STO 1.45 | 1 Feb 18 6975 C BTO 0.05,140,6868.52,2026-02-18,15:36:00,295,Stop Loss,-159.56,-113.97142857142856,1,1005783.56,9860,SPX,EMA-V:  calls,2.28,2.28,29.0,36.0,12.26,4.41,46.43,-114.29
2026-02-18,15:04:00,6870.65,1 Feb 18 6885 C STO 1.40 | 1 Feb 18 6985 C BTO 0.05,135,6883.7,2026-02-18,15:51:00,285,Stop Loss,-154.56,-114.48888888888888,1,1005219.88,9865,SPX,EMA-V:  calls,2.28,2.28,28.0,50.0,12.26,15.17,88.89,-137.04
2026-02-18,14:55:00,6867.04,1 Feb 18 6880 C STO 1.95 | 1 Feb 18 6980 C BTO 0.05,190,6881.6,2026-02-18,15:48:00,395,Stop Loss,-209.56,-110.29473684210528,1,1005374.44,9810,SPX,EMA-V:  calls,2.28,2.28,39.0,86.0,12.26,11.56,81.58,-123.68
2026-02-18,14:46:00,6871.09,1 Feb 18 6885 C STO 2.10 | 1 Feb 18 6985 C BTO 0.05,205,6886.09,2026-02-18,15:54:00,425,Stop Loss,-224.56,-109.54146341463417,1,1004995.32,9795,SPX,EMA-V:  calls,2.28,2.28,42.0,64.0,12.26,15.61,92.68,-114.63
2026-02-18,14:37:00,6871.58,1 Feb 18 6890 C STO 1.50 | 1 Feb 18 6990 C BTO 0.05,145,6881.31,2026-02-18,16:00:00,0,Expired,142.72,98.42758620689656,1,1006189.36,9855,SPX,EMA-V:  calls,2.28,0.0,30.0,1.0,12.26,16.1,100.0,-20.69
2026-02-18,14:28:00,6882.33,1 Feb 18 6895 C STO 2.00 | 1 Feb 18 6995 C BTO 0.05,195,6881.31,2026-02-18,16:00:00,0,Expired,192.72,98.83076923076923,1,1005188.04,9805,SPX,EMA-V:  calls,2.28,0.0,40.0,1.0,12.26,26.85,100.0,0.0
2026-02-18,14:19:00,6881.75,1 Feb 18 6895 C STO 2.10 | 1 Feb 18 6995 C BTO 0.05,205,6881.31,2026-02-18,16:00:00,0,Expired,202.72,98.88780487804878,1,1005721.2,9795,SPX,EMA-V:  calls,2.28,0.0,42.0,1.0,12.26,26.27,100.0,-46.34
2026-02-18,14:10:00,6885.17,1 Feb 18 6900 C STO 1.75 | 1 Feb 18 7000 C BTO 0.05,170,6881.31,2026-02-18,16:00:00,0,Expired,167.72,98.65882352941176,1,1005888.92,9830,SPX,EMA-V:  calls,2.28,0.0,35.0,1.0,12.26,29.69,100.0,-11.76
2026-02-18,14:01:00,6888.74,1 Feb 18 6905 C STO 1.65 | 1 Feb 18 7005 C BTO 0.05,160,6881.31,2026-02-18,16:00:00,0,Expired,157.72,98.575,1,1006046.64,9840,SPX,EMA-V:  calls,2.28,0.0,33.0,1.0,12.26,33.26,100.0,-21.88
